date,interp_P,p_err,type
2021-12-01,1017.8458333333332,0.25,observed
2021-12-02,1006.3833333333332,0.25,observed
2021-12-03,1003.8375,0.25,observed
2021-12-04,1012.3916666666668,0.25,observed
2021-12-05,1008.6541666666668,0.25,observed
2021-12-06,1003.65,0.25,observed
2021-12-07,1011.1208333333332,0.25,observed
2021-12-08,1009.7125,0.25,observed
2021-12-09,1008.325,0.25,observed
2021-12-10,1008.4416666666668,0.25,observed
2021-12-11,1005.375,0.25,observed
2021-12-12,1014.0958333333332,0.25,observed
2021-12-13,1018.6458333333331,0.25,observed
2021-12-14,1018.1333333333332,0.25,observed
2021-12-15,1018.8041666666668,0.25,observed
2021-12-16,1020.2916666666669,0.25,observed
2021-12-17,1021.6125,0.25,observed
2021-12-18,1019.5083333333332,0.25,observed
2021-12-19,1019.4125,0.25,observed
2021-12-20,1016.9166666666669,0.25,observed
2021-12-21,1018.4166666666669,0.25,observed
2021-12-22,1017.1958333333334,0.25,observed
2021-12-23,1017.7125,0.25,observed
2021-12-24,1017.4125,0.25,observed
2021-12-25,1011.85,0.25,observed
2021-12-26,1009.25,0.25,observed
2021-12-27,1009.8916666666668,0.25,observed
2021-12-28,1010.375,0.25,observed
2021-12-29,1011.7666666666668,0.25,observed
2021-12-30,1012.7541666666668,0.25,observed
2021-12-31,1019.7666666666668,0.25,observed
2022-01-01,1021.8708333333334,0.25,observed
2022-01-02,1022.3416666666666,0.25,observed
2022-01-03,1020.55,0.25,observed
2022-01-04,1014.6916666666666,0.25,observed
2022-01-05,1008.0041666666668,0.25,observed
2022-01-06,1005.8166666666668,0.25,observed
2022-01-07,1007.3708333333332,0.25,observed
2022-01-08,1007.9875,0.25,observed
2022-01-09,1006.875,0.25,observed
2022-01-10,998.3625,0.25,observed
2022-01-11,1005.0125,0.25,observed
2022-01-12,1013.3708333333332,0.25,observed
2022-01-13,1020.1416666666668,0.25,observed
2022-01-14,1022.6458333333334,0.25,observed
2022-01-15,1019.375,0.25,observed
2022-01-16,1021.6625,0.25,observed
2022-01-17,1023.475,0.25,observed
2022-01-18,1025.7458333333334,0.25,observed
2022-01-19,1025.8708333333334,0.25,observed
2022-01-20,1021.3208333333332,0.25,observed
2022-01-21,1018.4666666666668,0.25,observed
2022-01-22,1019.5666666666668,0.25,observed
2022-01-23,1022.5958333333334,0.25,observed
2022-01-24,1021.4541666666668,0.25,observed
2022-01-25,1024.5083333333332,0.25,observed
2022-01-26,1025.7541666666666,0.25,observed
2022-01-27,1024.6708333333331,0.25,observed
2022-01-28,1023.1458333333334,0.25,observed
2022-01-29,1020.7791666666668,0.25,observed
2022-01-30,1020.6875,0.25,observed
2022-01-31,1012.8416666666668,0.25,observed
2022-02-01,1003.7458333333332,0.25,observed
2022-02-02,1009.5375,0.25,observed
2022-02-03,1017.9708333333334,0.25,observed
2022-02-04,1018.2375,0.25,observed
2022-02-05,1016.6333333333332,0.25,observed
2022-02-06,1019.6708333333332,0.25,observed
2022-02-07,1017.7833333333332,0.25,observed
2022-02-08,1021.2375,0.25,observed
2022-02-09,1027.4208333333331,0.25,observed
2022-02-10,1024.7458333333334,0.25,observed
2022-02-11,1019.9125,0.25,observed
2022-02-12,1018.6208333333332,0.25,observed
2022-02-13,1020.1583333333332,0.25,observed
2022-02-14,1016.75,0.25,observed
2022-02-15,1013.7541666666666,0.25,observed
2022-02-16,1015.2291666666669,0.25,observed
2022-02-17,1013.2791666666668,0.25,observed
2022-02-18,1015.6958333333332,0.25,observed
2022-02-19,1015.2125,0.25,observed
2022-02-20,1016.3708333333332,0.25,observed
2022-02-21,1016.5208333333334,0.25,observed
2022-02-22,1010.6458333333331,0.25,observed
2022-02-23,1016.6166666666668,0.25,observed
2022-02-24,1019.1416666666668,0.25,observed
2022-02-25,1015.4375,0.25,observed
2022-02-26,1014.625,0.25,observed
2022-02-27,1016.9541666666668,0.25,observed
2022-02-28,1017.0791666666668,0.25,observed
2022-03-01,1016.4458333333332,0.25,observed
2022-03-02,1018.5166666666668,0.25,observed
2022-03-03,1013.9833333333336,0.25,observed
2022-03-04,1008.1666666666666,0.25,observed
2022-03-05,1005.8208333333334,0.25,observed
2022-03-06,1010.0625,0.25,observed
2022-03-07,1009.7583333333332,0.25,observed
2022-03-08,1011.1083333333332,0.25,observed
2022-03-09,1015.8625,0.25,observed
2022-03-10,1020.35,0.25,observed
2022-03-11,1018.1833333333334,0.25,observed
2022-03-12,1016.35,0.25,observed
2022-03-13,1016.8916666666668,0.25,observed
2022-03-14,1022.9250000000002,0.25,observed
2022-03-15,1026.2291666666667,0.25,observed
2022-03-16,1018.8708333333334,0.25,observed
2022-03-17,1011.0875,0.25,observed
2022-03-18,1011.6875,0.25,observed
2022-03-19,1014.3666666666666,0.25,observed
2022-03-20,1020.4916666666666,0.25,observed
2022-03-21,1023.9541666666668,0.25,observed
2022-03-22,1024.0958333333333,0.25,observed
2022-03-23,1023.3375,0.25,observed
2022-03-24,1022.9416666666666,0.25,observed
2022-03-25,1020.45,0.25,observed
2022-03-26,1014.5625,0.25,observed
2022-03-27,1012.3291666666668,0.25,observed
2022-03-28,1016.4375,0.25,observed
2022-03-29,1012.0708333333332,0.25,observed
2022-03-30,1001.8125,0.25,observed
2022-03-31,995.6291666666666,0.25,observed
2022-04-01,1002.5458333333336,0.25,observed
2022-04-02,1009.4875,0.25,observed
2022-04-03,1011.9958333333332,0.25,observed
2022-04-04,1005.9708333333334,0.25,observed
2022-04-05,1007.2,0.25,observed
2022-04-06,1005.4083333333332,0.25,observed
2022-04-07,1012.9041666666668,0.25,observed
2022-04-08,1014.5875,0.25,observed
2022-04-09,1010.6041666666666,0.25,observed
2022-04-10,1014.1958333333332,0.25,observed
2022-04-11,1017.2541666666666,0.25,observed
2022-04-12,1013.7583333333332,0.25,observed
2022-04-13,1007.4875,0.25,observed
2022-04-14,1004.45,0.25,observed
2022-04-15,1005.7,0.25,observed
2022-04-16,1004.7083333333331,0.25,observed
2022-04-17,1004.4666666666668,0.25,observed
2022-04-18,1008.8208333333332,0.25,observed
2022-04-19,1011.325,0.25,observed
2022-04-20,1003.9583333333331,0.25,observed
2022-04-21,995.3833333333334,0.25,observed
2022-04-22,1004.3708333333332,0.25,observed
2022-04-23,1007.7958333333332,0.25,observed
2022-04-24,1008.8958333333331,0.25,observed
2022-04-25,1009.4541666666668,0.25,observed
2022-04-26,1009.6458333333334,0.25,observed
2022-04-27,1009.5833333333331,0.25,observed
2022-04-28,1010.2458333333332,0.25,observed
2022-04-29,1012.9541666666668,0.25,observed
2022-04-30,1012.6208333333334,0.25,observed
2022-05-01,1010.2083333333334,0.25,observed
2022-05-02,1009.8708333333332,0.25,observed
2022-05-03,1010.4208333333332,0.25,observed
2022-05-04,1012.0,0.25,observed
2022-05-05,1005.9875,0.25,observed
2022-05-06,1007.7041666666664,0.25,observed
2022-05-07,1008.2583333333332,0.25,observed
2022-05-08,1011.2541666666668,0.25,observed
2022-05-09,1014.7833333333334,0.25,observed
2022-05-10,1015.675,0.25,observed
2022-05-11,1016.9916666666666,0.25,observed
2022-05-12,1018.5375,0.25,observed
2022-05-13,1017.3958333333331,0.25,observed
2022-05-14,1015.8666666666668,0.25,observed
2022-05-15,1014.2333333333332,0.25,observed
2022-05-16,1014.225,0.25,observed
2022-05-17,1013.9125,0.25,observed
2022-05-18,1012.8958333333331,0.25,observed
2022-05-19,1017.7041666666664,0.25,observed
2022-05-20,1022.1041666666669,0.25,observed
2022-05-21,1017.7041666666668,0.25,observed
2022-05-22,1011.0791666666668,0.25,observed
2022-05-23,1007.4625,0.25,observed
2022-05-24,1006.0958333333334,0.25,observed
2022-05-25,1007.9666666666666,0.25,observed
2022-05-26,1009.1791666666668,0.25,observed
2022-05-27,1007.0833333333334,0.25,observed
2022-05-28,1004.85,0.25,observed
2022-05-29,1005.0291666666668,0.25,observed
2022-05-30,1007.1541666666666,0.25,observed
2022-05-31,1009.9208333333332,0.25,observed
2022-06-01,1010.3833333333332,0.25,observed
2022-06-02,1011.1166666666668,0.25,observed
2022-06-03,1012.975,0.25,observed
2022-06-04,1013.7083333333334,0.25,observed
2022-06-05,1013.4791666666666,0.25,observed
2022-06-06,1012.4166666666666,0.25,observed
2022-06-07,1009.0291666666666,0.25,observed
2022-06-08,1008.25,0.25,observed
2022-06-09,1007.0958333333332,0.25,observed
2022-06-10,1007.625,0.25,observed
2022-06-11,1011.55,0.25,observed
2022-06-12,1012.7,0.25,observed
2022-06-13,1011.4250000000002,0.25,observed
2022-06-14,1011.85,0.25,observed
2022-06-15,1013.8583333333332,0.25,observed
2022-06-16,1013.8791666666668,0.25,observed
2022-06-17,1013.4666666666668,0.25,observed
2022-06-18,1010.7583333333332,0.25,observed
2022-06-19,1010.4166666666669,0.25,observed
2022-06-20,1011.7541666666666,0.25,observed
2022-06-21,1011.9833333333332,0.25,observed
2022-06-22,1010.2208333333332,0.25,observed
2022-06-23,1010.775,0.25,observed
2022-06-24,1009.9708333333332,0.25,observed
2022-06-25,1009.5916666666668,0.25,observed
2022-06-26,1009.1,0.25,observed
2022-06-27,1010.1041666666666,0.25,observed
2022-06-28,1009.5958333333332,0.25,observed
2022-06-29,1008.3666666666668,0.25,observed
2022-06-30,1007.6166666666668,0.25,observed
2022-07-01,1009.7375,0.25,observed
2022-07-02,1011.5291666666668,0.25,observed
2022-07-03,1010.9875,0.25,observed
2022-07-04,1010.9708333333334,0.25,observed
2022-07-05,1011.4416666666666,0.25,observed
2022-07-06,1011.3333333333331,0.25,observed
2022-07-07,1011.2291666666666,0.25,observed
2022-07-08,1011.0375,0.25,observed
2022-07-09,1011.7583333333332,0.25,observed
2022-07-10,1010.275,0.25,observed
2022-07-11,1011.8958333333331,0.25,observed
2022-07-12,1015.6416666666668,0.25,observed
2022-07-13,1015.4041666666668,0.25,observed
2022-07-14,1014.2375,0.25,observed
2022-07-15,1011.2416666666668,0.25,observed
2022-07-16,1012.075,0.25,observed
2022-07-17,1013.2766666666666,0.25,observed
2022-07-18,1013.5579166666668,0.25,observed
2022-07-19,1012.8491666666666,0.25,observed
2022-07-20,1012.9858333333334,0.25,observed
2022-07-21,1012.8,0.25,observed
2022-07-22,1012.6333333333332,0.25,observed
2022-07-23,1013.4875,0.25,observed
2022-07-24,1012.7416666666668,0.25,observed
2022-07-25,1010.0583333333334,0.25,observed
2022-07-26,1007.8,0.25,observed
2022-07-27,1006.0,0.25,observed
2022-07-28,1007.4083333333332,0.25,observed
2022-07-29,1010.0208333333334,0.25,observed
2022-07-30,1010.2875,0.25,observed
2022-07-31,1009.3791666666666,0.25,observed
2022-08-01,1008.4416666666666,0.25,observed
2022-08-02,1008.5625,0.25,observed
2022-08-03,1009.4666666666668,0.25,observed
2022-08-04,1010.5333333333332,0.25,observed
2022-08-05,1010.4625,0.25,observed
2022-08-06,1009.2541666666668,0.25,observed
2022-08-07,1007.6791666666666,0.25,observed
2022-08-08,1008.5208333333334,0.25,observed
2022-08-09,1010.2208333333334,0.25,observed
2022-08-10,1010.0375,0.25,observed
2022-08-11,1009.0375,0.25,observed
2022-08-12,1008.8916666666668,0.25,observed
2022-08-13,1008.8874999999998,0.25,observed
2022-08-14,1006.0541666666668,0.25,observed
2022-08-15,1006.2041666666668,0.25,observed
2022-08-16,1008.3125,0.25,observed
2022-08-17,1007.7625,0.25,observed
2022-08-18,1005.9041666666668,0.25,observed
2022-08-19,1008.3791666666668,0.25,observed
2022-08-20,1010.2375,0.25,observed
2022-08-21,1007.6791666666668,0.25,observed
2022-08-22,1005.4416666666668,0.25,observed
2022-08-23,1007.1916666666668,0.25,observed
2022-08-24,1008.9666666666668,0.25,observed
2022-08-25,1008.2583333333334,0.25,observed
2022-08-26,1007.2583333333332,0.25,observed
2022-08-27,1007.9833333333332,0.25,observed
2022-08-28,1009.4416666666668,0.25,observed
2022-08-29,1011.4083333333332,0.25,observed
2022-08-30,1012.9166666666669,0.25,observed
2022-08-31,1011.4083333333332,0.25,observed
2022-09-01,1009.1583333333334,0.25,observed
2022-09-02,1010.4125,0.25,observed
2022-09-03,1011.2583333333332,0.25,observed
2022-09-04,1013.9416666666668,0.25,observed
2022-09-05,1014.4541666666664,0.25,observed
2022-09-06,1014.6041666666669,0.25,observed
2022-09-07,1012.4291666666668,0.25,observed
2022-09-08,1011.4416666666668,0.25,observed
2022-09-09,1011.6208333333334,0.25,observed
2022-09-10,1012.0166666666668,0.25,observed
2022-09-11,1011.1791666666666,0.25,observed
2022-09-12,1010.1125,0.25,observed
2022-09-13,1010.0791666666668,0.25,observed
2022-09-14,1011.5458333333332,0.25,observed
2022-09-15,1009.8583333333332,0.25,observed
2022-09-16,1007.2,0.25,observed
2022-09-17,1006.3,0.25,observed
2022-09-18,1009.7458333333332,0.25,observed
2022-09-19,1009.2,0.25,observed
2022-09-20,1008.3416666666668,0.25,observed
2022-09-21,1009.8375,0.25,observed
2022-09-22,1009.1291666666668,0.25,observed
2022-09-23,1011.1083333333332,0.25,observed
2022-09-24,1014.6375,0.25,observed
2022-09-25,1011.0208333333334,0.25,observed
2022-09-26,1006.5416666666664,0.25,observed
2022-09-27,1006.7666666666668,0.25,observed
2022-09-28,1006.8791666666668,0.25,observed
2022-09-29,1004.9625,0.25,observed
2022-09-30,1004.7,0.25,observed
2022-10-01,1014.5291666666668,0.25,observed
2022-10-02,1019.4875,0.25,observed
2022-10-03,1014.0541666666668,0.25,observed
2022-10-04,1014.3916666666668,0.25,observed
2022-10-05,1019.5416666666669,0.25,observed
2022-10-06,1020.925,0.25,observed
2022-10-07,1018.3583333333332,0.25,observed
2022-10-08,1015.8041666666666,0.25,observed
2022-10-09,1014.175,0.25,observed
2022-10-10,1013.3,0.25,observed
2022-10-11,1013.2833333333332,0.25,observed
2022-10-12,1013.8875,0.25,observed
2022-10-13,1013.7916666666669,0.25,observed
2022-10-14,1013.3333333333334,0.25,observed
2022-10-15,1013.5083333333332,0.25,observed
2022-10-16,1017.4166666666664,0.25,observed
2022-10-17,1021.8375,0.25,observed
2022-10-18,1021.0666666666668,0.25,observed
2022-10-19,1015.6083333333332,0.25,observed
2022-10-20,1015.6875,0.25,observed
2022-10-21,1018.1083333333332,0.25,observed
2022-10-22,1019.5791666666668,0.25,observed
2022-10-23,1019.9458333333332,0.25,observed
2022-10-24,1019.2,0.25,observed
2022-10-25,1017.1791666666668,0.25,observed
2022-10-26,1017.8125,0.25,observed
2022-10-27,1020.5166666666668,0.25,observed
2022-10-28,1020.0291666666668,0.25,observed
2022-10-29,1018.2958333333332,0.25,observed
2022-10-30,1017.3583333333332,0.25,observed
2022-10-31,1018.1749999999998,0.25,observed
2022-11-01,1019.2875,0.25,observed
2022-11-02,1019.3291666666668,0.25,observed
2022-11-03,1017.1916666666668,0.25,observed
2022-11-04,1009.4333333333332,0.25,observed
2022-11-05,1005.4791666666664,0.25,observed
2022-11-06,1010.9125,0.25,observed
2022-11-07,1017.0958333333332,0.25,observed
2022-11-08,1016.7166666666668,0.25,observed
2022-11-09,1015.6666666666666,0.25,observed
2022-11-10,1017.525,0.25,observed
2022-11-11,1021.6833333333334,0.25,observed
2022-11-12,1019.1083333333332,0.25,observed
2022-11-13,1016.1166666666668,0.25,observed
2022-11-14,1016.9658333333332,0.25,observed
2022-11-15,1014.4320833333334,0.25,observed
2022-11-16,1010.12875,8.933115668990702,interpolated
2022-11-17,1005.8254166666668,0.25,observed
2022-11-18,1006.6458333333334,0.25,observed
2022-11-19,1004.6520833333332,0.25,observed
2022-11-20,1007.7475,0.25,observed
2022-11-21,1013.3733333333334,0.25,observed
2022-11-22,1006.9275,0.25,observed
2022-11-23,1007.9666666666668,0.25,observed
2022-11-24,1012.6166666666668,0.25,observed
2022-11-25,1016.0583333333332,0.25,observed
2022-11-26,1008.3583333333332,0.25,observed
2022-11-27,1006.9708333333332,0.25,observed
2022-11-28,1010.7625,0.25,observed
2022-11-29,1003.5583333333332,0.25,observed
2022-11-30,1005.4083333333332,0.25,observed
2022-12-01,1010.9708333333332,0.25,observed
2022-12-02,1010.8458333333334,0.25,observed
2022-12-03,1005.8166666666668,0.25,observed
2022-12-04,1012.575,0.25,observed
2022-12-05,1016.3291666666668,0.25,observed
2022-12-06,1010.8541666666669,0.25,observed
2022-12-07,1008.0958333333332,0.25,observed
2022-12-08,1009.9,0.25,observed
2022-12-09,1007.2916666666666,0.25,observed
2022-12-10,1002.3166666666668,0.25,observed
2022-12-11,1005.4583333333336,0.25,observed
2022-12-12,1006.2125,0.25,observed
2022-12-13,1007.075,0.25,observed
2022-12-14,1005.7041666666668,0.25,observed
2022-12-15,1006.3625,0.25,observed
2022-12-16,1005.6,0.25,observed
2022-12-17,1015.0375,0.25,observed
2022-12-18,1022.375,0.25,observed
2022-12-19,1025.7916666666663,0.25,observed
2022-12-20,1023.5791666666668,0.25,observed
2022-12-21,1018.9375,0.25,observed
2022-12-22,1016.8791666666668,0.25,observed
2022-12-23,1017.3291666666668,0.25,observed
2022-12-24,1017.4291666666668,0.25,observed
2022-12-25,1020.7,0.25,observed
2022-12-26,1024.0375,0.25,observed
2022-12-27,1023.925,0.25,observed
2022-12-28,1022.9208333333332,0.25,observed
2022-12-29,1021.5666666666668,0.25,observed
2022-12-30,1022.6291666666666,0.25,observed
2022-12-31,1026.375,0.25,observed
2023-01-01,1026.2875,0.25,observed
2023-01-02,1025.3583333333331,0.25,observed
2023-01-03,1024.9416666666666,0.25,observed
2023-01-04,1024.2916666666663,0.25,observed
2023-01-05,1021.5791666666668,0.25,observed
2023-01-06,1019.9916666666668,0.25,observed
2023-01-07,1019.4791666666666,0.25,observed
2023-01-08,1019.5208333333334,0.25,observed
2023-01-09,1014.8916666666668,0.25,observed
2023-01-10,1016.7625,0.25,observed
2023-01-11,1018.2916666666666,0.25,observed
2023-01-12,1017.1875,0.25,observed
2023-01-13,1018.4291666666668,0.25,observed
2023-01-14,1018.0291666666668,0.25,observed
2023-01-15,1016.85,0.25,observed
2023-01-16,1009.7958333333332,0.25,observed
2023-01-17,1002.4333333333334,0.25,observed
2023-01-18,1001.05,0.25,observed
2023-01-19,1006.7833333333332,0.25,observed
2023-01-20,1007.6,0.25,observed
2023-01-21,1008.625,0.25,observed
2023-01-22,1008.875,0.25,observed
2023-01-23,1014.4125,0.25,observed
2023-01-24,1015.3125,0.25,observed
2023-01-25,1011.125,0.25,observed
2023-01-26,1003.9791666666669,0.25,observed
2023-01-27,1004.025,0.25,observed
2023-01-28,1008.3416666666666,0.25,observed
2023-01-29,1013.0583333333332,0.25,observed
2023-01-30,1016.6458333333334,0.25,observed
2023-01-31,1018.1,0.25,observed
2023-02-01,1021.2291666666666,0.25,observed
2023-02-02,1020.2791666666668,0.25,observed
2023-02-03,1021.9958333333332,0.25,observed
2023-02-04,1018.7083333333334,0.25,observed
2023-02-05,1018.7,0.25,observed
2023-02-06,1020.4291666666666,0.25,observed
2023-02-07,1019.6833333333332,0.25,observed
2023-02-08,1013.575,0.25,observed
2023-02-09,1012.8791666666668,0.25,observed
2023-02-10,1013.45,0.25,observed
2023-02-11,1026.0833333333333,0.25,observed
2023-02-12,1026.2083333333337,0.25,observed
2023-02-13,1027.0958333333333,0.25,observed
2023-02-14,1028.2666666666669,0.25,observed
2023-02-15,1026.025,0.25,observed
2023-02-16,1026.7416666666666,0.25,observed
2023-02-17,1026.9125,0.25,observed
2023-02-18,1026.8083333333332,0.25,observed
2023-02-19,1023.5708333333332,0.25,observed
2023-02-20,1021.7958333333332,0.25,observed
2023-02-21,1018.2083333333331,0.25,observed
2023-02-22,1012.7208333333334,0.25,observed
2023-02-23,1010.925,0.25,observed
2023-02-24,1009.0875,0.25,observed
2023-02-25,998.2791666666666,0.25,observed
2023-02-26,1001.1583333333334,0.25,observed
2023-02-27,1006.3916666666668,0.25,observed
2023-02-28,1008.0125,0.25,observed
2023-03-01,1009.35,0.25,observed
2023-03-02,1011.2583333333332,0.25,observed
2023-03-03,1008.9958333333332,0.25,observed
2023-03-04,1011.3541666666664,0.25,observed
2023-03-05,1013.3666666666668,0.25,observed
2023-03-06,1010.1875,0.25,observed
2023-03-07,1008.9833333333332,0.25,observed
2023-03-08,1011.5458333333332,0.25,observed
2023-03-09,1011.6708333333332,0.25,observed
2023-03-10,1009.9583333333334,0.25,observed
2023-03-11,1008.6166666666668,0.25,observed
2023-03-12,1009.3958333333331,0.25,observed
2023-03-13,1015.9041666666668,0.25,observed
2023-03-14,1009.9666666666666,0.25,observed
2023-03-15,1008.3,0.25,observed
2023-03-16,1011.575,0.25,observed
2023-03-17,1014.1833333333334,0.25,observed
2023-03-18,1014.2875,0.25,observed
2023-03-19,1014.2375,0.25,observed
2023-03-20,1011.8125,0.25,observed
2023-03-21,1009.0166666666668,0.25,observed
2023-03-22,1011.325,0.25,observed
2023-03-23,1013.5083333333332,0.25,observed
2023-03-24,1015.95,0.25,observed
2023-03-25,1014.6208333333332,0.25,observed
2023-03-26,1012.8833333333332,0.25,observed
2023-03-27,1010.9708333333332,0.25,observed
2023-03-28,1018.0666666666666,0.25,observed
2023-03-29,1023.7,0.25,observed
2023-03-30,1021.6583333333332,0.25,observed
2023-03-31,1015.2333333333332,0.25,observed
2023-04-01,1009.9166666666669,0.25,observed
2023-04-02,1004.8751666666668,0.25,observed
2023-04-03,999.7169166666667,0.25,observed
2023-04-04,1004.2557222222224,8.933115668990702,interpolated
2023-04-05,1008.7945277777778,8.933115668990702,interpolated
2023-04-06,1013.3333333333334,0.25,observed
2023-04-07,1013.3,0.25,observed
2023-04-08,1013.175,0.25,observed
2023-04-09,1014.1833333333332,0.25,observed
2023-04-10,1015.5666666666668,0.25,observed
2023-04-11,1016.1,0.25,observed
2023-04-12,1010.3166666666668,0.25,observed
2023-04-13,1005.1,0.25,observed
2023-04-14,1011.175,0.25,observed
2023-04-15,1009.5416666666666,0.25,observed
2023-04-16,1006.1,0.25,observed
2023-04-17,1007.5125,0.25,observed
2023-04-18,1010.7458333333332,0.25,observed
2023-04-19,1010.075,0.25,observed
2023-04-20,1002.9666666666668,0.25,observed
2023-04-21,1003.5833333333334,0.25,observed
2023-04-22,1008.9166666666666,0.25,observed
2023-04-23,1012.2875,0.25,observed
2023-04-24,1011.8291666666668,0.25,observed
2023-04-25,1010.7833333333332,0.25,observed
2023-04-26,1010.4041666666666,0.25,observed
2023-04-27,1013.2333333333332,0.25,observed
2023-04-28,1016.0541666666668,0.25,observed
2023-04-29,1011.6666666666666,0.25,observed
2023-04-30,1007.6875,0.25,observed
2023-05-01,1008.3250000000002,0.25,observed
2023-05-02,1008.6041666666669,0.25,observed
2023-05-03,1011.2416666666668,0.25,observed
2023-05-04,1014.25,0.25,observed
2023-05-05,1015.1291666666666,0.25,observed
2023-05-06,1012.9,0.25,observed
2023-05-07,1011.025,0.25,observed
2023-05-08,1010.1791666666668,0.25,observed
2023-05-09,1008.6125,0.25,observed
2023-05-10,1010.6,0.25,observed
2023-05-11,1012.2208333333332,0.25,observed
2023-05-12,1010.3125,0.25,observed
2023-05-13,1004.2541666666666,0.25,observed
2023-05-14,1004.9666666666668,0.25,observed
2023-05-15,999.9708333333332,0.25,observed
2023-05-16,1005.5666666666666,0.25,observed
2023-05-17,1010.1666666666666,0.25,observed
2023-05-18,1007.5125,0.25,observed
2023-05-19,999.725,0.25,observed
2023-05-20,996.7625,0.25,observed
2023-05-21,1003.4375,0.25,observed
2023-05-22,1006.8875,0.25,observed
2023-05-23,1007.7083333333331,0.25,observed
2023-05-24,1006.2875,0.25,observed
2023-05-25,1005.9416666666668,0.25,observed
2023-05-26,1010.3958333333334,0.25,observed
2023-05-27,1011.0166666666668,0.25,observed
2023-05-28,1008.8333333333331,0.25,observed
2023-05-29,1007.3625,0.25,observed
2023-05-30,1007.6331875,8.478515536014514,interpolated
2023-05-31,1007.903875,8.478515536014514,interpolated
2023-06-01,1008.1745625,8.478515536014514,interpolated
2023-06-02,1008.44525,0.25,observed
2023-06-03,1009.7183333333332,0.25,observed
2023-06-04,1008.4941666666666,0.25,observed
2023-06-05,1008.2775,8.933115668990702,interpolated
2023-06-06,1008.0608333333332,0.25,observed
2023-06-07,1010.5858333333332,0.25,observed
2023-06-08,1009.2,0.25,observed
2023-06-09,1007.6379166666668,0.25,observed
2023-06-10,1006.5141666666668,0.25,observed
2023-06-11,1006.2075,0.25,observed
2023-06-12,1006.9770833333332,0.25,observed
2023-06-13,1005.4804166666668,0.25,observed
2023-06-14,1003.9916666666668,0.25,observed
2023-06-15,1006.3354166666668,0.25,observed
2023-06-16,1008.6266666666668,0.25,observed
2023-06-17,1010.1183333333332,0.25,observed
2023-06-18,1011.2883333333332,0.25,observed
2023-06-19,1012.0058333333332,0.25,observed
2023-06-20,1012.8308333333332,0.25,observed
2023-06-21,1012.595,0.25,observed
